Time,ZoneTemp,PMV,Energy_kWh,HeatingSetPoint,CoolingSetPoint
Timestamp,23.215187236945937,0.3,1.2,20.0,22.0
Timestamp,23.31098445372776,0.3,1.2,20.0,22.0
Timestamp,23.39556615361555,0.3,1.2,20.0,22.0
Timestamp,23.364052640335725,0.3,1.2,20.0,22.0
Timestamp,23.33452084804135,0.3,1.2,20.0,22.0
Timestamp,23.35061925142735,0.3,1.2,20.0,22.0
Timestamp,23.39160419273033,0.3,1.2,20.0,22.0
Timestamp,23.210951934188227,0.3,1.2,20.0,22.0
Timestamp,23.040805631398925,0.3,1.2,20.0,22.0
Timestamp,22.969614680344463,0.3,1.2,20.0,22.0
Timestamp,22.956141577133007,0.3,1.2,20.0,22.0
Timestamp,23.171810863310256,0.3,1.2,20.0,22.0
Timestamp,23.36080426299727,0.3,1.2,20.0,22.0
Timestamp,23.444322653092605,0.3,1.2,20.0,22.0
Timestamp,23.47153836710429,0.3,1.2,20.0,22.0
Timestamp,23.53659983379909,0.3,1.2,20.0,22.0
Timestamp,23.60416429822263,0.3,1.2,20.0,22.0
Timestamp,23.651901527647464,0.3,1.2,20.0,22.0
Timestamp,23.68398886334813,0.3,1.2,20.0,22.0
Timestamp,23.642195074101604,0.3,1.2,20.0,22.0
Timestamp,23.607165285330314,0.3,1.2,20.0,22.0
Timestamp,23.602888746123785,0.3,1.2,20.0,22.0
Timestamp,23.6119118830846,0.3,1.2,20.0,22.0
Timestamp,23.482744766881424,0.3,1.2,20.0,22.0
Timestamp,23.36628048434938,0.3,1.2,20.0,22.0
Timestamp,23.311363038409755,0.3,1.2,20.0,22.0
Timestamp,23.286227480809973,0.3,1.2,20.0,22.0
Timestamp,23.260910445226862,0.3,1.2,20.0,22.0
Timestamp,23.227053125454425,0.3,1.2,20.0,22.0
Timestamp,23.18781560927212,0.3,1.2,20.0,22.0
Timestamp,23.14688207131093,0.3,1.2,20.0,22.0
Timestamp,22.475695941021616,0.3,1.2,20.0,22.0
Timestamp,22.092048162640197,0.3,1.2,20.0,22.0
Timestamp,22.00997881541558,0.3,1.2,20.0,22.0
Timestamp,22.000456063632594,0.3,1.2,20.0,22.0
Timestamp,21.999539585908767,0.3,1.2,20.0,22.0
Timestamp,21.999752225069056,0.3,1.2,20.0,22.0
Timestamp,21.973389099431525,0.3,1.2,20.0,22.0
Timestamp,21.90804685749452,0.3,1.2,20.0,22.0
Timestamp,22.104819401954696,0.3,1.2,20.0,22.0
Timestamp,22.112939456488213,0.3,1.2,20.0,22.0
Timestamp,22.110054488313832,0.3,1.2,20.0,22.0
Timestamp,22.08899079046665,0.3,1.2,20.0,22.0
Timestamp,22.031150248412594,0.3,1.2,20.0,22.0
Timestamp,21.961758655796963,0.3,1.2,20.0,22.0
Timestamp,21.896751373875965,0.3,1.2,20.0,22.0
Timestamp,21.83840008058717,0.3,1.2,20.0,22.0
Timestamp,21.784362317584353,0.3,1.2,20.0,22.0
Timestamp,21.732940957539686,0.3,1.2,20.0,22.0
Timestamp,21.683642555489737,0.3,1.2,20.0,22.0
